Sample Name,M Reads,M Reads Mapped,flowcell,Peaks,FRiP,Regulatory,TSS,Mitochondrial DNA,Fragment Length,Treatment Redundancy,% Dups,% Aligned,% Duplication,% > Q30,Mb Q30 bases,GC content,% PF,% Adapter
PT76_R1_C_albicans_2h,12.70,12.50,BSF_0685_HFFJ3BBXY,78577.00,0.44,0.54,4.30,0.00,147.00,0.06,0.19,0.99,0.14,0.97,609.50,0.51,1.00,0.10
PT76_R1_C_albicans_4h,15.50,15.40,BSF_0685_HFFJ3BBXY,74600.00,0.39,0.48,4.20,0.00,147.00,0.06,0.19,0.99,0.15,0.97,748.60,0.50,1.00,0.12
PT76_R1_C_albicans_6h,14.00,13.90,BSF_0685_HFFJ3BBXY,80832.00,0.50,0.58,4.20,0.00,147.00,0.08,0.22,0.99,0.17,0.96,675.50,0.51,1.00,0.10
PT76_R1_C_albicans_8h,15.20,15.10,BSF_0685_HFFJ3BBXY,71126.00,0.37,0.47,3.80,0.00,147.00,0.06,0.19,0.99,0.14,0.97,733.70,0.50,1.00,0.11
PT76_R1_IFN_beta_2h,15.60,15.50,BSF_0685_HFFJ3BBXY,77114.00,0.40,0.51,4.20,0.00,147.00,0.06,0.20,0.99,0.16,0.97,749.00,0.50,1.00,0.12
PT76_R1_IFN_beta_4h,14.00,13.80,BSF_0685_HFFJ3BBXY,71632.00,0.39,0.50,4.40,0.00,147.00,0.06,0.19,0.99,0.15,0.97,673.50,0.50,1.00,0.10
PT76_R1_IFN_beta_6h,12.80,12.70,BSF_0685_HFFJ3BBXY,86921.00,0.46,0.55,4.40,0.00,147.00,0.06,0.20,0.99,0.15,0.97,617.30,0.51,1.00,0.12
PT76_R1_IFN_beta_8h,15.40,15.30,BSF_0685_HFFJ3BBXY,91146.00,0.51,0.58,4.40,0.00,147.00,0.09,0.23,0.99,0.18,0.97,742.80,0.51,1.00,0.11
PT76_R1_IFN_gamma_2h,15.00,14.80,BSF_0685_HFFJ3BBXY,71462.00,0.34,0.46,3.90,0.00,147.00,0.04,0.17,0.99,0.14,0.97,718.30,0.49,1.00,0.13
PT76_R1_IFN_gamma_4h,16.40,16.30,BSF_0685_HFFJ3BBXY,80217.00,0.44,0.53,4.40,0.00,147.00,0.08,0.22,0.99,0.17,0.96,793.30,0.50,1.00,0.10
PT76_R1_IFN_gamma_6h,14.80,14.60,BSF_0685_HFFJ3BBXY,77555.00,0.43,0.52,4.40,0.00,147.00,0.06,0.19,0.99,0.14,0.96,709.70,0.50,1.00,0.12
PT76_R1_IFN_gamma_8h,13.20,13.10,BSF_0685_HFFJ3BBXY,83582.00,0.50,0.58,4.50,0.00,147.00,0.08,0.22,0.99,0.17,0.97,636.50,0.51,1.00,0.10
PT76_R1_LCMV_Cl13_2h,14.00,13.90,BSF_0685_HFFJ3BBXY,75264.00,0.47,0.56,4.40,0.00,147.00,0.08,0.22,0.99,0.16,0.96,676.00,0.51,1.00,0.10
PT76_R1_LCMV_Cl13_4h,15.60,15.40,BSF_0685_HFFJ3BBXY,81550.00,0.48,0.56,4.50,0.00,147.00,0.09,0.23,0.99,0.18,0.97,750.20,0.51,1.00,0.10
