sample_name,BSF_name,lane,flowcell,data_source,read_type,skip_preprocess,organism
PT82_R1_C_albicans_24h,PT82_R1_untreated_C_albicans_24h_S58517,3,BSF_0694_HFCMWBBXY,bmdm-stim,single,no,mouse
PT82_R1_C_albicans_8h,PT82_R1_untreated_C_albicans_8h_S58502,3,BSF_0694_HFCMWBBXY,bmdm-stim,single,no,mouse
PT82_R1_IFN_beta_24h,PT82_R1_untreated_IFN_beta_24h_S58513,3,BSF_0694_HFCMWBBXY,bmdm-stim,single,no,mouse
PT82_R1_IFN_beta_8h,PT82_R1_untreated_IFN_beta_8h_S58510,3,BSF_0694_HFCMWBBXY,bmdm-stim,single,no,mouse
PT82_R1_IFN_gamma_24h,PT82_R1_untreated_IFN_gamma_24h_S58526,3,BSF_0694_HFCMWBBXY,bmdm-stim,single,no,mouse
PT82_R1_IFN_gamma_8h,PT82_R1_untreated_IFN_gamma_8h_S58509,3,BSF_0694_HFCMWBBXY,bmdm-stim,single,no,mouse
PT82_R1_LCMV_Cl13_24h,PT82_R1_untreated_LCMV_Cl13_24h_S58514,3,BSF_0694_HFCMWBBXY,bmdm-stim,single,no,mouse
PT82_R1_LCMV_Cl13_8h,PT82_R1_untreated_LCMV_Cl13_8h_S58501,3,BSF_0694_HFCMWBBXY,bmdm-stim,single,no,mouse
PT82_R1_LO28_24h,PT82_R1_untreated_LO28_24h_S58515,3,BSF_0694_HFCMWBBXY,bmdm-stim,single,no,mouse
PT82_R1_LO28_8h,PT82_R1_untreated_LO28_8h_S58500,3,BSF_0694_HFCMWBBXY,bmdm-stim,single,no,mouse
PT82_R1_LPS_24h,PT82_R1_untreated_LPS_24h_S58512,3,BSF_0694_HFCMWBBXY,bmdm-stim,single,no,mouse
PT82_R1_LPS_8h,PT82_R1_untreated_LPS_8h_S58511,3,BSF_0694_HFCMWBBXY,bmdm-stim,single,no,mouse
PT82_R1_untreated_24h,PT82_R1_untreated_untreated_24h_S58516,3,BSF_0694_HFCMWBBXY,bmdm-stim,single,no,mouse
PT82_R1_untreated_8h,PT82_R1_untreated_untreated_8h_S58503,3,BSF_0694_HFCMWBBXY,bmdm-stim,single,no,mouse
PT82_R2_C_albicans_24h,PT82_R2_untreated_C_albicans_24h_S58524,3,BSF_0694_HFCMWBBXY,bmdm-stim,single,no,mouse
PT82_R2_C_albicans_8h,PT82_R2_untreated_C_albicans_8h_S58507,3,BSF_0694_HFCMWBBXY,bmdm-stim,single,no,mouse
PT82_R2_IFN_beta_24h,PT82_R2_untreated_IFN_beta_24h_S58520,3,BSF_0694_HFCMWBBXY,bmdm-stim,single,no,mouse
PT82_R2_IFN_beta_8h,PT82_R2_untreated_IFN_beta_8h_S58518,3,BSF_0694_HFCMWBBXY,bmdm-stim,single,no,mouse
PT82_R2_IFN_gamma_24h,PT82_R2_untreated_IFN_gamma_24h_S58521,3,BSF_0694_HFCMWBBXY,bmdm-stim,single,no,mouse
PT82_R2_IFN_gamma_8h,PT82_R2_untreated_IFN_gamma_8h_S58519,3,BSF_0694_HFCMWBBXY,bmdm-stim,single,no,mouse
PT82_R2_LCMV_Cl13_24h,PT82_R2_untreated_LCMV_Cl13_24h_S58525,3,BSF_0694_HFCMWBBXY,bmdm-stim,single,no,mouse
PT82_R2_LCMV_Cl13_8h,PT82_R2_untreated_LCMV_Cl13_8h_S58506,3,BSF_0694_HFCMWBBXY,bmdm-stim,single,no,mouse
PT82_R2_LO28_24h,PT82_R2_untreated_LO28_24h_S58522,3,BSF_0694_HFCMWBBXY,bmdm-stim,single,no,mouse
