sample_name,library,timepoint after thawing,cell_line,Treatment,Treatment_time,mouse_pool,sex,bio-replicate,organism,experiment_id
PT76_R1_C_albicans_2h,ATAC-seq,d010,BMDM,C_albicans,2h,PT62_c,female,R1,mouse,PT76
PT76_R1_C_albicans_4h,ATAC-seq,d010,BMDM,C_albicans,4h,PT62_c,female,R1,mouse,PT76
PT76_R1_C_albicans_6h,ATAC-seq,d010,BMDM,C_albicans,6h,PT62_c,female,R1,mouse,PT76
PT76_R1_C_albicans_8h,ATAC-seq,d010,BMDM,C_albicans,8h,PT62_c,female,R1,mouse,PT76
PT76_R1_untreated_0h,ATAC-seq,d010,BMDM,untreated,0h,PT62_c,female,R1,mouse,PT76
PT76_R1_IFN_beta_2h,ATAC-seq,d010,BMDM,IFN_beta,2h,PT62_c,female,R1,mouse,PT76
PT76_R1_IFN_beta_4h,ATAC-seq,d010,BMDM,IFN_beta,4h,PT62_c,female,R1,mouse,PT76
PT76_R1_IFN_beta_6h,ATAC-seq,d010,BMDM,IFN_beta,6h,PT62_c,female,R1,mouse,PT76
PT76_R1_IFN_beta_8h,ATAC-seq,d010,BMDM,IFN_beta,8h,PT62_c,female,R1,mouse,PT76
PT76_R1_IFN_gamma_2h,ATAC-seq,d010,BMDM,IFN_gamma,2h,PT62_c,female,R1,mouse,PT76
PT76_R1_IFN_gamma_4h,ATAC-seq,d010,BMDM,IFN_gamma,4h,PT62_c,female,R1,mouse,PT76
PT76_R1_IFN_gamma_6h,ATAC-seq,d010,BMDM,IFN_gamma,6h,PT62_c,female,R1,mouse,PT76
PT76_R1_IFN_gamma_8h,ATAC-seq,d010,BMDM,IFN_gamma,8h,PT62_c,female,R1,mouse,PT76
PT76_R1_LCMV_Cl13_2h,ATAC-seq,d010,BMDM,LCMV_Cl13,2h,PT62_c,female,R1,mouse,PT76
PT76_R1_LCMV_Cl13_4h,ATAC-seq,d010,BMDM,LCMV_Cl13,4h,PT62_c,female,R1,mouse,PT76
PT76_R1_LCMV_Cl13_6h,ATAC-seq,d010,BMDM,LCMV_Cl13,6h,PT62_c,female,R1,mouse,PT76
PT76_R1_LCMV_Cl13_8h,ATAC-seq,d010,BMDM,LCMV_Cl13,8h,PT62_c,female,R1,mouse,PT76
PT76_R1_LO28_2h,ATAC-seq,d010,BMDM,LO28,2h,PT62_c,female,R1,mouse,PT76
PT76_R1_LO28_4h,ATAC-seq,d010,BMDM,LO28,4h,PT62_c,female,R1,mouse,PT76
PT76_R1_LO28_6h,ATAC-seq,d010,BMDM,LO28,6h,PT62_c,female,R1,mouse,PT76
PT76_R1_LO28_8h,ATAC-seq,d010,BMDM,LO28,8h,PT62_c,female,R1,mouse,PT76
PT76_R1_LPS_2h,ATAC-seq,d010,BMDM,LPS,2h,PT62_c,female,R1,mouse,PT76
PT76_R1_LPS_4h,ATAC-seq,d010,BMDM,LPS,4h,PT62_c,female,R1,mouse,PT76
PT76_R1_LPS_6h,ATAC-seq,d010,BMDM,LPS,6h,PT62_c,female,R1,mouse,PT76
PT76_R1_LPS_8h,ATAC-seq,d010,BMDM,LPS,8h,PT62_c,female,R1,mouse,PT76
PT76_R2_C_albicans_2h,ATAC-seq,d010,BMDM,C_albicans,2h,PT66_b,female,R2,mouse,PT76
PT76_R2_C_albicans_4h,ATAC-seq,d010,BMDM,C_albicans,4h,PT66_b,female,R2,mouse,PT76
PT76_R2_C_albicans_6h,ATAC-seq,d010,BMDM,C_albicans,6h,PT66_b,female,R2,mouse,PT76
PT76_R2_C_albicans_8h,ATAC-seq,d010,BMDM,C_albicans,8h,PT66_b,female,R2,mouse,PT76
PT76_R2_untreated_0h,ATAC-seq,d010,BMDM,untreated,0h,PT66_b,female,R2,mouse,PT76
PT76_R2_IFN_beta_2h,ATAC-seq,d010,BMDM,IFN_beta,2h,PT66_b,female,R2,mouse,PT76
PT76_R2_IFN_beta_4h,ATAC-seq,d010,BMDM,IFN_beta,4h,PT66_b,female,R2,mouse,PT76
PT76_R2_IFN_beta_6h,ATAC-seq,d010,BMDM,IFN_beta,6h,PT66_b,female,R2,mouse,PT76
PT76_R2_IFN_beta_8h,ATAC-seq,d010,BMDM,IFN_beta,8h,PT66_b,female,R2,mouse,PT76
PT76_R2_IFN_gamma_2h,ATAC-seq,d010,BMDM,IFN_gamma,2h,PT66_b,female,R2,mouse,PT76
PT76_R2_IFN_gamma_4h,ATAC-seq,d010,BMDM,IFN_gamma,4h,PT66_b,female,R2,mouse,PT76
PT76_R2_IFN_gamma_6h,ATAC-seq,d010,BMDM,IFN_gamma,6h,PT66_b,female,R2,mouse,PT76
PT76_R2_IFN_gamma_8h,ATAC-seq,d010,BMDM,IFN_gamma,8h,PT66_b,female,R2,mouse,PT76
PT76_R2_LCMV_Cl13_2h,ATAC-seq,d010,BMDM,LCMV_Cl13,2h,PT66_b,female,R2,mouse,PT76
PT76_R2_LCMV_Cl13_4h,ATAC-seq,d010,BMDM,LCMV_Cl13,4h,PT66_b,female,R2,mouse,PT76
PT76_R2_LCMV_Cl13_6h,ATAC-seq,d010,BMDM,LCMV_Cl13,6h,PT66_b,female,R2,mouse,PT76
PT76_R2_LCMV_Cl13_8h,ATAC-seq,d010,BMDM,LCMV_Cl13,8h,PT66_b,female,R2,mouse,PT76
PT76_R2_LO28_2h,ATAC-seq,d010,BMDM,LO28,2h,PT66_b,female,R2,mouse,PT76
PT76_R2_LO28_4h,ATAC-seq,d010,BMDM,LO28,4h,PT66_b,female,R2,mouse,PT76
PT76_R2_LO28_6h,ATAC-seq,d010,BMDM,LO28,6h,PT66_b,female,R2,mouse,PT76
PT76_R2_LO28_8h,ATAC-seq,d010,BMDM,LO28,8h,PT66_b,female,R2,mouse,PT76
PT76_R2_LPS_2h,ATAC-seq,d010,BMDM,LPS,2h,PT66_b,female,R2,mouse,PT76
