,library,timepoint after thawing,cell_line,Treatment,Treatment_time,mouse_pool,sex,bio-replicate,organism,experiment_id,M Reads,M Reads Mapped,flowcell,Peaks,FRiP,Regulatory,TSS,Mitochondrial DNA,Fragment Length,Treatment Redundancy,% Dups,% Aligned,% Duplication,% > Q30,Mb Q30 bases,GC content,% PF,% Adapter,pass_qc
PT76_R1_C_albicans_2h,ATAC-seq,d010,BMDM,C_albicans,2h,PT62_c,female,R1,mouse,PT76,12.7,12.5,BSF_0685_HFFJ3BBXY,78577.0,0.44,0.54,4.3,0.0,147.0,0.06,0.19,0.99,0.14,0.97,609.5,0.51,1.0,0.1,1
PT76_R1_C_albicans_4h,ATAC-seq,d010,BMDM,C_albicans,4h,PT62_c,female,R1,mouse,PT76,15.5,15.4,BSF_0685_HFFJ3BBXY,74600.0,0.39,0.48,4.2,0.0,147.0,0.06,0.19,0.99,0.15,0.97,748.6,0.5,1.0,0.12,1
PT76_R1_C_albicans_6h,ATAC-seq,d010,BMDM,C_albicans,6h,PT62_c,female,R1,mouse,PT76,14.0,13.9,BSF_0685_HFFJ3BBXY,80832.0,0.5,0.58,4.2,0.0,147.0,0.08,0.22,0.99,0.17,0.96,675.5,0.51,1.0,0.1,1
PT76_R1_C_albicans_8h,ATAC-seq,d010,BMDM,C_albicans,8h,PT62_c,female,R1,mouse,PT76,15.2,15.1,BSF_0685_HFFJ3BBXY,71126.0,0.37,0.47,3.8,0.0,147.0,0.06,0.19,0.99,0.14,0.97,733.7,0.5,1.0,0.11,1
PT76_R1_untreated_0h,ATAC-seq,d010,BMDM,untreated,0h,PT62_c,female,R1,mouse,PT76,16.0,15.9,BSF_0685_HFFJ3BBXY,81129.0,0.42,0.51,4.6,0.0,147.0,0.06,0.18,0.99,0.14,0.97,769.1,0.5,1.0,0.13,1
PT76_R1_IFN_beta_2h,ATAC-seq,d010,BMDM,IFN_beta,2h,PT62_c,female,R1,mouse,PT76,15.6,15.5,BSF_0685_HFFJ3BBXY,77114.0,0.4,0.51,4.2,0.0,147.0,0.06,0.2,0.99,0.16,0.97,749.0,0.5,1.0,0.12,1
PT76_R1_IFN_beta_4h,ATAC-seq,d010,BMDM,IFN_beta,4h,PT62_c,female,R1,mouse,PT76,14.0,13.8,BSF_0685_HFFJ3BBXY,71632.0,0.39,0.5,4.4,0.0,147.0,0.06,0.19,0.99,0.15,0.97,673.5,0.5,1.0,0.1,1
PT76_R1_IFN_beta_6h,ATAC-seq,d010,BMDM,IFN_beta,6h,PT62_c,female,R1,mouse,PT76,12.8,12.7,BSF_0685_HFFJ3BBXY,86921.0,0.46,0.55,4.4,0.0,147.0,0.06,0.2,0.99,0.15,0.97,617.3,0.51,1.0,0.12,1
PT76_R1_IFN_beta_8h,ATAC-seq,d010,BMDM,IFN_beta,8h,PT62_c,female,R1,mouse,PT76,15.4,15.3,BSF_0685_HFFJ3BBXY,91146.0,0.51,0.58,4.4,0.0,147.0,0.09,0.23,0.99,0.18,0.97,742.8,0.51,1.0,0.11,1
PT76_R1_IFN_gamma_2h,ATAC-seq,d010,BMDM,IFN_gamma,2h,PT62_c,female,R1,mouse,PT76,15.0,14.8,BSF_0685_HFFJ3BBXY,71462.0,0.34,0.46,3.9,0.0,147.0,0.04,0.17,0.99,0.14,0.97,718.3,0.49,1.0,0.13,1
PT76_R1_IFN_gamma_4h,ATAC-seq,d010,BMDM,IFN_gamma,4h,PT62_c,female,R1,mouse,PT76,16.4,16.3,BSF_0685_HFFJ3BBXY,80217.0,0.44,0.53,4.4,0.0,147.0,0.08,0.22,0.99,0.17,0.96,793.3,0.5,1.0,0.1,1
PT76_R1_IFN_gamma_6h,ATAC-seq,d010,BMDM,IFN_gamma,6h,PT62_c,female,R1,mouse,PT76,14.8,14.6,BSF_0685_HFFJ3BBXY,77555.0,0.43,0.52,4.4,0.0,147.0,0.06,0.19,0.99,0.14,0.96,709.7,0.5,1.0,0.12,1
PT76_R1_IFN_gamma_8h,ATAC-seq,d010,BMDM,IFN_gamma,8h,PT62_c,female,R1,mouse,PT76,13.2,13.1,BSF_0685_HFFJ3BBXY,83582.0,0.5,0.58,4.5,0.0,147.0,0.08,0.22,0.99,0.17,0.97,636.5,0.51,1.0,0.1,1
PT76_R1_LCMV_Cl13_2h,ATAC-seq,d010,BMDM,LCMV_Cl13,2h,PT62_c,female,R1,mouse,PT76,14.0,13.9,BSF_0685_HFFJ3BBXY,75264.0,0.47,0.56,4.4,0.0,147.0,0.08,0.22,0.99,0.16,0.96,676.0,0.51,1.0,0.1,1
PT76_R1_LCMV_Cl13_4h,ATAC-seq,d010,BMDM,LCMV_Cl13,4h,PT62_c,female,R1,mouse,PT76,15.6,15.4,BSF_0685_HFFJ3BBXY,81550.0,0.48,0.56,4.5,0.0,147.0,0.09,0.23,0.99,0.18,0.97,750.2,0.51,1.0,0.1,1
PT76_R1_LCMV_Cl13_6h,ATAC-seq,d010,BMDM,LCMV_Cl13,6h,PT62_c,female,R1,mouse,PT76,14.6,14.5,BSF_0685_HFFJ3BBXY,82784.0,0.52,0.59,4.3,0.0,147.0,0.09,0.23,0.99,0.17,0.97,702.3,0.52,1.0,0.12,1
PT76_R1_LCMV_Cl13_8h,ATAC-seq,d010,BMDM,LCMV_Cl13,8h,PT62_c,female,R1,mouse,PT76,12.3,12.2,BSF_0685_HFFJ3BBXY,77069.0,0.53,0.62,4.7,0.0,147.0,0.22,0.22,0.99,0.17,0.96,590.1,0.52,1.0,0.11,1
PT76_R1_LO28_2h,ATAC-seq,d010,BMDM,LO28,2h,PT62_c,female,R1,mouse,PT76,12.9,12.6,BSF_0685_HFFJ3BBXY,79061.0,0.44,0.53,4.1,0.0,147.0,0.06,0.18,0.98,0.14,0.97,622.0,0.5,1.0,0.1,1
PT76_R1_LO28_4h,ATAC-seq,d010,BMDM,LO28,4h,PT62_c,female,R1,mouse,PT76,12.6,12.3,BSF_0685_HFFJ3BBXY,67294.0,0.36,0.47,4.0,0.0,147.0,0.15,0.17,0.98,0.13,0.97,608.0,0.49,1.0,0.1,1
PT76_R1_LO28_6h,ATAC-seq,d010,BMDM,LO28,6h,PT62_c,female,R1,mouse,PT76,14.5,14.2,BSF_0685_HFFJ3BBXY,76761.0,0.39,0.49,3.7,0.0,147.0,0.05,0.18,0.98,0.14,0.97,697.4,0.5,1.0,0.12,1
PT76_R1_LO28_8h,ATAC-seq,d010,BMDM,LO28,8h,PT62_c,female,R1,mouse,PT76,12.0,11.8,BSF_0685_HFFJ3BBXY,76553.0,0.42,0.5,4.1,0.0,147.0,0.17,0.18,0.98,0.14,0.97,580.7,0.5,1.0,0.11,1
PT76_R1_LPS_2h,ATAC-seq,d010,BMDM,LPS,2h,PT62_c,female,R1,mouse,PT76,14.6,14.5,BSF_0685_HFFJ3BBXY,76837.0,0.42,0.51,4.1,0.0,147.0,0.06,0.19,0.99,0.14,0.97,704.2,0.5,1.0,0.12,1
PT76_R1_LPS_4h,ATAC-seq,d010,BMDM,LPS,4h,PT62_c,female,R1,mouse,PT76,14.6,14.4,BSF_0685_HFFJ3BBXY,70673.0,0.36,0.47,4.1,0.0,147.0,0.05,0.18,0.99,0.14,0.97,702.6,0.49,1.0,0.1,1
PT76_R1_LPS_6h,ATAC-seq,d010,BMDM,LPS,6h,PT62_c,female,R1,mouse,PT76,13.5,13.3,BSF_0685_HFFJ3BBXY,76378.0,0.42,0.51,4.0,0.0,147.0,0.06,0.19,0.99,0.14,0.97,647.2,0.5,1.0,0.12,1
PT76_R1_LPS_8h,ATAC-seq,d010,BMDM,LPS,8h,PT62_c,female,R1,mouse,PT76,16.7,16.5,BSF_0685_HFFJ3BBXY,85747.0,0.47,0.53,4.2,0.0,147.0,0.09,0.23,0.99,0.17,0.97,805.5,0.5,1.0,0.1,1
PT76_R2_C_albicans_2h,ATAC-seq,d010,BMDM,C_albicans,2h,PT66_b,female,R2,mouse,PT76,14.1,14.0,BSF_0685_HFFJ3BBXY,84533.0,0.6,0.65,4.9,0.0,147.0,0.12,0.27,0.99,0.21,0.96,682.1,0.52,1.0,0.09,1
PT76_R2_C_albicans_4h,ATAC-seq,d010,BMDM,C_albicans,4h,PT66_b,female,R2,mouse,PT76,15.6,15.5,BSF_0685_HFFJ3BBXY,87380.0,0.58,0.64,4.9,0.0,147.0,0.12,0.27,0.99,0.22,0.96,756.1,0.52,1.0,0.08,1
