sample_name,Aligned_percentage,Aligned_million
RNA_PT76_R1_C_albicans_2h,0.74,4.6
RNA_PT76_R1_C_albicans_4h,0.745,3.5
RNA_PT76_R1_C_albicans_6h,0.741,4.3
RNA_PT76_R1_IFN_beta_2h,0.722,4.3
RNA_PT76_R1_IFN_beta_4h,0.759,4.5
RNA_PT76_R1_IFN_beta_6h,0.742,5.1
RNA_PT76_R1_IFN_gamma_2h,0.74,4.2
RNA_PT76_R1_IFN_gamma_4h,0.739,3.9
RNA_PT76_R1_IFN_gamma_6h,0.746,3.7
RNA_PT76_R1_LCMV_Cl13_2h,0.669,3.6
RNA_PT76_R1_LCMV_Cl13_4h,0.735,4.8
RNA_PT76_R1_LCMV_Cl13_6h,0.733,4.2
RNA_PT76_R1_LO28_2h,0.747,3.7
RNA_PT76_R1_LO28_4h,0.75,4.2
RNA_PT76_R1_LO28_6h,0.723,3.4
RNA_PT76_R1_LPS_2h,0.708,3.6
RNA_PT76_R1_LPS_4h,0.758,4.5
RNA_PT76_R1_LPS_6h,0.741,3.6
RNA_PT76_R1_untreated_0h,0.732,4.2
RNA_PT76_R2_C_albicans_2h,0.743,3.7
RNA_PT76_R2_C_albicans_4h,0.742,4.2
RNA_PT76_R2_C_albicans_6h,0.737,5
RNA_PT76_R2_IFN_beta_2h,0.716,4
RNA_PT76_R2_IFN_beta_4h,0.742,4.2
RNA_PT76_R2_IFN_beta_6h,0.754,4.3
RNA_PT76_R2_IFN_gamma_2h,0.726,3.7
RNA_PT76_R2_IFN_gamma_4h,0.726,4.2
RNA_PT76_R2_IFN_gamma_6h,0.734,4
RNA_PT76_R2_LCMV_Cl13_2h,0.735,4.1
RNA_PT76_R2_LCMV_Cl13_4h,0.559,3.4
RNA_PT76_R2_LCMV_Cl13_6h,0.744,4.3
RNA_PT76_R2_LO28_2h,0.736,4.5
RNA_PT76_R2_LO28_4h,0.717,3.7
RNA_PT76_R2_LO28_6h,0.752,4.3
RNA_PT76_R2_LPS_2h,0.724,4.8
RNA_PT76_R2_LPS_4h,0.748,5.1
RNA_PT76_R2_LPS_6h,0.762,4.7
RNA_PT76_R2_untreated_0h,0.729,4.6
RNA_PT82_R1_C_albicans_24h,0.739,4.3
RNA_PT82_R1_C_albicans_8h,0.722,3.9
RNA_PT82_R1_IFN_beta_24h,0.765,4.1
RNA_PT82_R1_IFN_beta_8h,0.686,5.1
RNA_PT82_R1_IFN_gamma_24h,0.754,3.8
RNA_PT82_R1_IFN_gamma_8h,0.702,4.9
RNA_PT82_R1_LCMV_Cl13_24h,0.751,4.5
RNA_PT82_R1_LCMV_Cl13_8h,0.724,3.9
RNA_PT82_R1_LO28_24h,0.577,2.9
RNA_PT82_R1_LO28_8h,0.724,4.4
RNA_PT82_R1_LPS_24h,0.761,30
RNA_PT82_R1_LPS_8h,0.674,4.9
RNA_PT82_R1_untreated_24h,0.753,4.5
RNA_PT82_R1_untreated_8h,0.728,4.3
RNA_PT82_R2_C_albicans_24h,0.756,3.7
RNA_PT82_R2_C_albicans_8h,0.735,4
RNA_PT82_R2_IFN_beta_24h,0.759,3.5
RNA_PT82_R2_IFN_beta_8h,0.736,4.9
RNA_PT82_R2_IFN_gamma_24h,0.723,3.6
RNA_PT82_R2_IFN_gamma_8h,0.714,4.3
RNA_PT82_R2_LCMV_Cl13_24h,0.751,4
RNA_PT82_R2_LCMV_Cl13_8h,0.699,4.1
RNA_PT82_R2_LO28_24h,0.692,3
RNA_PT82_R2_LO28_8h,0.749,5
RNA_PT82_R2_LPS_24h,0.745,3.6
RNA_PT82_R2_LPS_8h,0.752,5.5
RNA_PT82_R2_untreated_24h,0.751,3.5
RNA_PT82_R2_untreated_8h,0.725,4.5
