sample_name	BSF_name	lane	flowcell	data_source	read_type	skip_preprocess	organism	unit_name	fq1	fq2	sra	adapters	strandedness
RNA_PT76_R1_C_albicans_2h	PT76_R1_C_albicans_2_hours_S60384	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R1_C_albicans_2h.fq				yes
RNA_PT82_R1_C_albicans_24h	PT82_R1_untreated_C_albicans_24h_S60459	2	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY2	/path/to/RNA_PT82_R1_C_albicans_24h.fq				yes
RNA_PT76_R1_C_albicans_4h	PT76_R1_C_albicans_4_hours_S60377	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R1_C_albicans_4h.fq				yes
RNA_PT76_R1_C_albicans_6h	PT76_R1_C_albicans_6_hours_S60373	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R1_C_albicans_6h.fq				yes
RNA_PT82_R1_C_albicans_8h	PT82_R1_untreated_C_albicans_8h_S60425	2	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY2	/path/to/RNA_PT82_R1_C_albicans_8h.fq				yes
RNA_PT76_R1_untreated_0h	PT76_R1_Control_0_hours_S60409	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R1_untreated_0h.fq				yes
RNA_PT82_R1_untreated_24h	PT82_R1_untreated_untreated_24h_S60462	2	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY2	/path/to/RNA_PT82_R1_untreated_24h.fq				yes
RNA_PT82_R1_untreated_8h	PT82_R1_untreated_untreated_8h_S60447	2	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY2	/path/to/RNA_PT82_R1_untreated_8h.fq				yes
RNA_PT76_R1_IFN_beta_2h	PT76_R1_IFN_beta_2_hours_S60388	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R1_IFN_beta_2h.fq				yes
RNA_PT82_R1_IFN_beta_24h	PT82_R1_untreated_IFN_beta_24h_S60364	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT82_R1_IFN_beta_24h.fq				yes
RNA_PT76_R1_IFN_beta_4h	PT76_R1_IFN_beta_4_hours_S60382	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R1_IFN_beta_4h.fq				yes
RNA_PT76_R1_IFN_beta_6h	PT76_R1_IFN_beta_6_hours_S60375	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R1_IFN_beta_6h.fq				yes
RNA_PT82_R1_IFN_beta_8h	PT82_R1_untreated_IFN_beta_8h_S60438	2	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY2	/path/to/RNA_PT82_R1_IFN_beta_8h.fq				yes
RNA_PT76_R1_IFN_gamma_2h	PT76_R1_IFN_gamma_2_hours_S60389	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R1_IFN_gamma_2h.fq				yes
RNA_PT82_R1_IFN_gamma_24h	PT82_R1_untreated_IFN_gamma_24h_S60363	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT82_R1_IFN_gamma_24h.fq				yes
RNA_PT76_R1_IFN_gamma_4h	PT76_R1_IFN_gamma_4_hours_S60383	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R1_IFN_gamma_4h.fq				yes
RNA_PT76_R1_IFN_gamma_6h	PT76_R1_IFN_gamma_6_hours_S60378	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R1_IFN_gamma_6h.fq				yes
RNA_PT82_R1_IFN_gamma_8h	PT82_R1_untreated_IFN_gamma_8h_S60437	2	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY2	/path/to/RNA_PT82_R1_IFN_gamma_8h.fq				yes
RNA_PT76_R1_LCMV_Cl13_2h	PT76_R1_LCMV_Cl13_2_hours_S60385	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R1_LCMV_Cl13_2h.fq				yes
RNA_PT82_R1_LCMV_Cl13_24h	PT82_R1_untreated_LCMV_Cl13_24h_S60460	2	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY2	/path/to/RNA_PT82_R1_LCMV_Cl13_24h.fq				yes
RNA_PT76_R1_LCMV_Cl13_4h	PT76_R1_LCMV_Cl13_4_hours_S60379	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R1_LCMV_Cl13_4h.fq				yes
RNA_PT76_R1_LCMV_Cl13_6h	PT76_R1_LCMV_Cl13_6_hours_S60371	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R1_LCMV_Cl13_6h.fq				yes
RNA_PT82_R1_LCMV_Cl13_8h	PT82_R1_untreated_LCMV_Cl13_8h_S60426	2	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY2	/path/to/RNA_PT82_R1_LCMV_Cl13_8h.fq				yes
RNA_PT76_R1_LO28_2h	PT76_R1_LO28_2_hours_S60386	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R1_LO28_2h.fq				yes
RNA_PT82_R1_LO28_24h	PT82_R1_untreated_LO28_24h_S60457	2	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY2	/path/to/RNA_PT82_R1_LO28_24h.fq				yes
RNA_PT76_R1_LO28_4h	PT76_R1_LO28_4_hours_S60380	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R1_LO28_4h.fq				yes
RNA_PT76_R1_LO28_6h	PT76_R1_LO28_6_hours_S60374	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R1_LO28_6h.fq				yes
RNA_PT82_R1_LO28_8h	PT82_R1_untreated_LO28_8h_S60427	2	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY2	/path/to/RNA_PT82_R1_LO28_8h.fq				yes
RNA_PT76_R1_LPS_2h	PT76_R1_LPS_2_hours_S60387	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R1_LPS_2h.fq				yes
RNA_PT82_R1_LPS_24h	PT82_R1_untreated_LPS_24h_S60412	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT82_R1_LPS_24h.fq				yes
RNA_PT76_R1_LPS_4h	PT76_R1_LPS_4_hours_S60381	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R1_LPS_4h.fq				yes
RNA_PT76_R1_LPS_6h	PT76_R1_LPS_6_hours_S60376	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R1_LPS_6h.fq				yes
RNA_PT82_R1_LPS_8h	PT82_R1_untreated_LPS_8h_S60439	2	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY2	/path/to/RNA_PT82_R1_LPS_8h.fq				yes
RNA_PT76_R2_C_albicans_2h	PT76_R2_C_albicans_2_hours_S60399	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R2_C_albicans_2h.fq				yes
RNA_PT82_R2_C_albicans_24h	PT82_R2_untreated_C_albicans_24h_S60365	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT82_R2_C_albicans_24h.fq				yes
RNA_PT76_R2_C_albicans_4h	PT76_R2_C_albicans_4_hours_S60397	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R2_C_albicans_4h.fq				yes
RNA_PT76_R2_C_albicans_6h	PT76_R2_C_albicans_6_hours_S60390	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R2_C_albicans_6h.fq				yes
RNA_PT82_R2_C_albicans_8h	PT82_R2_untreated_C_albicans_8h_S60453	2	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY2	/path/to/RNA_PT82_R2_C_albicans_8h.fq				yes
RNA_PT76_R2_untreated_0h	PT76_R2_Control_0_hours_S60408	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R2_untreated_0h.fq				yes
RNA_PT82_R2_untreated_24h	PT82_R2_untreated_untreated_24h_S60366	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT82_R2_untreated_24h.fq				yes
RNA_PT82_R2_untreated_8h	PT82_R2_untreated_untreated_8h_S60452	2	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY2	/path/to/RNA_PT82_R2_untreated_8h.fq				yes
RNA_PT76_R2_IFN_beta_2h	PT76_R2_IFN_beta_2_hours_S60403	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R2_IFN_beta_2h.fq				yes
RNA_PT82_R2_IFN_beta_24h	PT82_R2_untreated_IFN_beta_24h_S60369	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT82_R2_IFN_beta_24h.fq				yes
RNA_PT76_R2_IFN_beta_4h	PT76_R2_IFN_beta_4_hours_S60401	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R2_IFN_beta_4h.fq				yes
RNA_PT76_R2_IFN_beta_6h	PT76_R2_IFN_beta_6_hours_S60394	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R2_IFN_beta_6h.fq				yes
RNA_PT82_R2_IFN_beta_8h	PT82_R2_untreated_IFN_beta_8h_S60449	2	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY2	/path/to/RNA_PT82_R2_IFN_beta_8h.fq				yes
RNA_PT76_R2_IFN_gamma_2h	PT76_R2_IFN_gamma_2_hours_S60410	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R2_IFN_gamma_2h.fq				yes
RNA_PT82_R2_IFN_gamma_24h	PT82_R2_untreated_IFN_gamma_24h_S60372	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT82_R2_IFN_gamma_24h.fq				yes
RNA_PT76_R2_IFN_gamma_4h	PT76_R2_IFN_gamma_4_hours_S60400	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R2_IFN_gamma_4h.fq				yes
RNA_PT76_R2_IFN_gamma_6h	PT76_R2_IFN_gamma_6_hours_S60398	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R2_IFN_gamma_6h.fq				yes
RNA_PT82_R2_IFN_gamma_8h	PT82_R2_untreated_IFN_gamma_8h_S60461	2	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY2	/path/to/RNA_PT82_R2_IFN_gamma_8h.fq				yes
RNA_PT76_R2_LCMV_Cl13_2h	PT76_R2_LCMV_Cl13_2_hours_S60406	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R2_LCMV_Cl13_2h.fq				yes
RNA_PT82_R2_LCMV_Cl13_24h	PT82_R2_untreated_LCMV_Cl13_24h_S60368	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT82_R2_LCMV_Cl13_24h.fq				yes
RNA_PT76_R2_LCMV_Cl13_4h	PT76_R2_LCMV_Cl13_4_hours_S60396	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R2_LCMV_Cl13_4h.fq				yes
RNA_PT76_R2_LCMV_Cl13_6h	PT76_R2_LCMV_Cl13_6_hours_S60391	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R2_LCMV_Cl13_6h.fq				yes
RNA_PT82_R2_LCMV_Cl13_8h	PT82_R2_untreated_LCMV_Cl13_8h_S60450	2	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY2	/path/to/RNA_PT82_R2_LCMV_Cl13_8h.fq				yes
RNA_PT76_R2_LO28_2h	PT76_R2_LO28_2_hours_S60405	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R2_LO28_2h.fq				yes
RNA_PT82_R2_LO28_24h	PT82_R2_untreated_LO28_24h_S60367	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT82_R2_LO28_24h.fq				yes
RNA_PT76_R2_LO28_4h	PT76_R2_LO28_4_hours_S60395	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R2_LO28_4h.fq				yes
RNA_PT76_R2_LO28_6h	PT76_R2_LO28_6_hours_S60392	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R2_LO28_6h.fq				yes
RNA_PT82_R2_LO28_8h	PT82_R2_untreated_LO28_8h_S60451	2	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY2	/path/to/RNA_PT82_R2_LO28_8h.fq				yes
RNA_PT76_R2_LPS_2h	PT76_R2_LPS_2_hours_S60404	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R2_LPS_2h.fq				yes
RNA_PT82_R2_LPS_24h	PT82_R2_untreated_LPS_24h_S60370	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT82_R2_LPS_24h.fq				yes
RNA_PT76_R2_LPS_4h	PT76_R2_LPS_4_hours_S60402	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R2_LPS_4h.fq				yes
RNA_PT76_R2_LPS_6h	PT76_R2_LPS_6_hours_S60393	3	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY3	/path/to/RNA_PT76_R2_LPS_6h.fq				yes
RNA_PT82_R2_LPS_8h	PT82_R2_untreated_LPS_8h_S60448	2	BSF_0719_HFYG7BBXY	bmdm-stim	single	no	mouse	BSF_0719_HFYG7BBXY2	/path/to/RNA_PT82_R2_LPS_8h.fq				yes
