sample_name,library,timepoint after thawing,cell_line,Treatment,Treatment_time,mouse_pool,sex,organism,bio-replicate,experiment_id
RNA_PT76_R1_C_albicans_2h,Quant-seq,d010,BMDM,C_albicans,2h,PT62_c,female,mouse,R1,PT76
RNA_PT82_R1_C_albicans_24h,Quant-seq,d010,BMDM,C_albicans,24h,PT62_c,female,mouse,R1,PT82
RNA_PT76_R1_C_albicans_4h,Quant-seq,d010,BMDM,C_albicans,4h,PT62_c,female,mouse,R1,PT76
RNA_PT76_R1_C_albicans_6h,Quant-seq,d010,BMDM,C_albicans,6h,PT62_c,female,mouse,R1,PT76
RNA_PT82_R1_C_albicans_8h,Quant-seq,d010,BMDM,C_albicans,8h,PT62_c,female,mouse,R1,PT82
RNA_PT76_R1_untreated_0h,Quant-seq,d010,BMDM,untreated,0h,PT62_c,female,mouse,R1,PT76
RNA_PT82_R1_untreated_24h,Quant-seq,d010,BMDM,untreated,24h,PT62_c,female,mouse,R1,PT82
RNA_PT82_R1_untreated_8h,Quant-seq,d010,BMDM,untreated,8h,PT62_c,female,mouse,R1,PT82
RNA_PT76_R1_IFN_beta_2h,Quant-seq,d010,BMDM,IFN_beta,2h,PT62_c,female,mouse,R1,PT76
RNA_PT82_R1_IFN_beta_24h,Quant-seq,d010,BMDM,IFN_beta,24h,PT62_c,female,mouse,R1,PT82
RNA_PT76_R1_IFN_beta_4h,Quant-seq,d010,BMDM,IFN_beta,4h,PT62_c,female,mouse,R1,PT76
RNA_PT76_R1_IFN_beta_6h,Quant-seq,d010,BMDM,IFN_beta,6h,PT62_c,female,mouse,R1,PT76
RNA_PT82_R1_IFN_beta_8h,Quant-seq,d010,BMDM,IFN_beta,8h,PT62_c,female,mouse,R1,PT82
RNA_PT76_R1_IFN_gamma_2h,Quant-seq,d010,BMDM,IFN_gamma,2h,PT62_c,female,mouse,R1,PT76
RNA_PT82_R1_IFN_gamma_24h,Quant-seq,d010,BMDM,IFN_gamma,24h,PT62_c,female,mouse,R1,PT82
RNA_PT76_R1_IFN_gamma_4h,Quant-seq,d010,BMDM,IFN_gamma,4h,PT62_c,female,mouse,R1,PT76
RNA_PT76_R1_IFN_gamma_6h,Quant-seq,d010,BMDM,IFN_gamma,6h,PT62_c,female,mouse,R1,PT76
RNA_PT82_R1_IFN_gamma_8h,Quant-seq,d010,BMDM,IFN_gamma,8h,PT62_c,female,mouse,R1,PT82
RNA_PT76_R1_LCMV_Cl13_2h,Quant-seq,d010,BMDM,LCMV_Cl13,2h,PT62_c,female,mouse,R1,PT76
RNA_PT82_R1_LCMV_Cl13_24h,Quant-seq,d010,BMDM,LCMV_Cl13,24h,PT62_c,female,mouse,R1,PT82
RNA_PT76_R1_LCMV_Cl13_4h,Quant-seq,d010,BMDM,LCMV_Cl13,4h,PT62_c,female,mouse,R1,PT76
RNA_PT76_R1_LCMV_Cl13_6h,Quant-seq,d010,BMDM,LCMV_Cl13,6h,PT62_c,female,mouse,R1,PT76
RNA_PT82_R1_LCMV_Cl13_8h,Quant-seq,d010,BMDM,LCMV_Cl13,8h,PT62_c,female,mouse,R1,PT82
RNA_PT76_R1_LO28_2h,Quant-seq,d010,BMDM,LO28,2h,PT62_c,female,mouse,R1,PT76
RNA_PT82_R1_LO28_24h,Quant-seq,d010,BMDM,LO28,24h,PT62_c,female,mouse,R1,PT82
RNA_PT76_R1_LO28_4h,Quant-seq,d010,BMDM,LO28,4h,PT62_c,female,mouse,R1,PT76
RNA_PT76_R1_LO28_6h,Quant-seq,d010,BMDM,LO28,6h,PT62_c,female,mouse,R1,PT76
RNA_PT82_R1_LO28_8h,Quant-seq,d010,BMDM,LO28,8h,PT62_c,female,mouse,R1,PT82
RNA_PT76_R1_LPS_2h,Quant-seq,d010,BMDM,LPS,2h,PT62_c,female,mouse,R1,PT76
RNA_PT82_R1_LPS_24h,Quant-seq,d010,BMDM,LPS,24h,PT62_c,female,mouse,R1,PT82
RNA_PT76_R1_LPS_4h,Quant-seq,d010,BMDM,LPS,4h,PT62_c,female,mouse,R1,PT76
RNA_PT76_R1_LPS_6h,Quant-seq,d010,BMDM,LPS,6h,PT62_c,female,mouse,R1,PT76
RNA_PT82_R1_LPS_8h,Quant-seq,d010,BMDM,LPS,8h,PT62_c,female,mouse,R1,PT82
RNA_PT76_R2_C_albicans_2h,Quant-seq,d010,BMDM,C_albicans,2h,PT66_b,female,mouse,R2,PT76
RNA_PT82_R2_C_albicans_24h,Quant-seq,d010,BMDM,C_albicans,24h,PT66_b,female,mouse,R2,PT82
RNA_PT76_R2_C_albicans_4h,Quant-seq,d010,BMDM,C_albicans,4h,PT66_b,female,mouse,R2,PT76
RNA_PT76_R2_C_albicans_6h,Quant-seq,d010,BMDM,C_albicans,6h,PT66_b,female,mouse,R2,PT76
RNA_PT82_R2_C_albicans_8h,Quant-seq,d010,BMDM,C_albicans,8h,PT66_b,female,mouse,R2,PT82
RNA_PT76_R2_untreated_0h,Quant-seq,d010,BMDM,untreated,0h,PT66_b,female,mouse,R2,PT76
