,0,1
RNA_PT76_R1_C_albicans_2h,-4.2338414,4.9467397
RNA_PT82_R1_C_albicans_24h,-4.1131263,5.0045066
RNA_PT76_R1_C_albicans_4h,-3.6229944,5.257027
RNA_PT76_R1_C_albicans_6h,-3.6405478,4.450187
RNA_PT82_R1_C_albicans_8h,-3.8352544,5.6575956
RNA_PT76_R1_untreated_0h,-4.322841,5.563318
RNA_PT82_R1_untreated_24h,-4.254802,5.661167
RNA_PT76_R1_IFN_beta_2h,-4.6984525,7.948759
RNA_PT82_R1_IFN_beta_24h,-2.8795078,8.813017
RNA_PT76_R1_IFN_beta_4h,-4.308409,8.607761
RNA_PT76_R1_IFN_beta_6h,-4.193236,8.495596
RNA_PT82_R1_IFN_beta_8h,-3.597051,8.749416
RNA_PT76_R1_IFN_gamma_2h,-4.3698587,6.3414235
RNA_PT82_R1_IFN_gamma_24h,-5.4294863,8.316676
RNA_PT76_R1_IFN_gamma_4h,-5.4871173,8.222267
RNA_PT76_R1_IFN_gamma_6h,-5.8192554,8.246922
RNA_PT82_R1_IFN_gamma_8h,-5.587706,8.728084
RNA_PT76_R1_LCMV_Cl13_2h,-4.6098833,4.3501678
RNA_PT82_R1_LCMV_Cl13_24h,-1.9955506,4.2213564
RNA_PT76_R1_LCMV_Cl13_4h,-4.565344,5.460433
RNA_PT76_R1_LCMV_Cl13_6h,-4.001454,5.0324864
RNA_PT82_R1_LCMV_Cl13_8h,-4.323804,4.9070597
RNA_PT76_R1_LO28_2h,-2.8224578,4.7958207
RNA_PT82_R1_LO28_24h,-0.14650777,3.787723
RNA_PT76_R1_LO28_4h,-1.0858003,4.4981465
RNA_PT76_R1_LO28_6h,-0.29517135,4.505611
RNA_PT82_R1_LO28_8h,-0.096537784,4.338728
RNA_PT76_R1_LPS_2h,-2.0399675,4.574831
RNA_PT76_R1_LPS_4h,-0.9261641,4.125974
RNA_PT76_R1_LPS_6h,-1.0080965,3.7637224
RNA_PT82_R1_LPS_8h,-0.96354824,3.5550315
RNA_PT76_R2_C_albicans_2h,-3.583827,5.0516734
RNA_PT82_R2_C_albicans_24h,-3.8625536,4.9977465
RNA_PT76_R2_C_albicans_4h,-3.3401823,5.7421703
RNA_PT76_R2_C_albicans_6h,-3.1702616,5.9126735
RNA_PT82_R2_C_albicans_8h,-3.878836,4.738971
RNA_PT76_R2_untreated_0h,-4.124631,4.4212813
RNA_PT82_R2_untreated_24h,-3.7784567,5.4678035
RNA_PT82_R2_untreated_8h,-3.8219383,4.5873218
RNA_PT76_R2_IFN_beta_2h,-4.4404383,7.7128525
RNA_PT82_R2_IFN_beta_24h,-2.9048202,8.74885
RNA_PT76_R2_IFN_beta_4h,-4.40634,8.526209
RNA_PT76_R2_IFN_beta_6h,-4.166421,8.633997
RNA_PT82_R2_IFN_beta_8h,-3.8194468,8.669927
RNA_PT76_R2_IFN_gamma_2h,-3.7913983,6.3101025
RNA_PT82_R2_IFN_gamma_24h,-5.5786376,8.349788
RNA_PT76_R2_IFN_gamma_4h,-5.441787,7.8055496
RNA_PT76_R2_IFN_gamma_6h,-5.324001,7.7886167
RNA_PT82_R2_IFN_gamma_8h,-5.406335,8.179461
RNA_PT76_R2_LCMV_Cl13_2h,-4.065365,5.3681464
RNA_PT82_R2_LCMV_Cl13_24h,-1.8289266,4.198821
RNA_PT76_R2_LCMV_Cl13_4h,-4.3061323,4.261038
RNA_PT76_R2_LCMV_Cl13_6h,-3.8706744,5.447254
RNA_PT82_R2_LCMV_Cl13_8h,-3.4514663,4.6600423
RNA_PT76_R2_LO28_2h,-2.9077044,5.123669
RNA_PT82_R2_LO28_24h,-0.15508182,3.8822443
RNA_PT76_R2_LO28_4h,-1.3961588,4.157696
RNA_PT76_R2_LO28_6h,-0.38456258,4.5747404
RNA_PT82_R2_LO28_8h,-0.012292886,4.2846704
RNA_PT76_R2_LPS_2h,-2.559274,5.0111537
RNA_PT82_R2_LPS_24h,-1.7207774,3.741322
RNA_PT76_R2_LPS_4h,-1.1263671,3.8082902
RNA_PT76_R2_LPS_6h,-1.0841935,3.9538388
RNA_PT82_R2_LPS_8h,-0.9999141,3.5671597
PT76_R1_C_albicans_2h,-4.3692045,5.829777
PT76_R1_C_albicans_4h,-4.6977596,4.6920366
PT76_R1_C_albicans_6h,-5.1712656,4.83393
PT76_R1_C_albicans_8h,-5.2933884,5.0083237
PT76_R1_untreated_0h,-4.300947,5.2775173
PT76_R1_IFN_beta_2h,-4.54852,8.246294
PT76_R1_IFN_beta_4h,-3.9648926,8.861276
PT76_R1_IFN_beta_6h,-3.438005,9.180218
PT76_R1_IFN_beta_8h,-3.2831964,9.174327
PT76_R1_IFN_gamma_2h,-4.7965927,8.500229
PT76_R1_IFN_gamma_4h,-5.309505,8.491917
PT76_R1_IFN_gamma_6h,-5.4591765,8.621998
PT76_R1_IFN_gamma_8h,-5.431228,8.745394
PT76_R1_LCMV_Cl13_2h,-4.7476444,5.364464
PT76_R1_LCMV_Cl13_4h,-4.896175,5.2722774
PT76_R1_LCMV_Cl13_6h,-4.90962,5.451091
PT76_R1_LCMV_Cl13_8h,-4.535452,4.8008056
PT76_R1_LO28_2h,-1.1805123,4.5121427
PT76_R1_LO28_4h,-0.34940436,4.119233
PT76_R1_LO28_6h,0.39744645,3.8375936
PT76_R1_LO28_8h,0.3763632,3.316569
PT76_R1_LPS_2h,-0.9579747,4.446452
PT76_R1_LPS_4h,-0.4698245,4.0311403
PT76_R1_LPS_6h,0.09969817,3.4034798
PT76_R1_LPS_8h,0.48035452,3.2930994
PT76_R2_C_albicans_2h,-2.7643552,5.6039743
PT76_R2_C_albicans_4h,-3.1264288,5.6188674
PT76_R2_C_albicans_6h,-3.1559002,5.7360306
PT76_R2_C_albicans_8h,-3.246154,5.2170005
PT76_R2_untreated_0h,-5.17492,5.265294
PT76_R2_IFN_beta_2h,-4.3707776,8.224782
PT76_R2_IFN_beta_4h,-4.09387,8.828044
PT76_R2_IFN_beta_6h,-3.5967522,9.206257
PT76_R2_IFN_beta_8h,-3.3569698,9.213338
PT76_R2_IFN_gamma_2h,-4.714676,8.305617
PT76_R2_IFN_gamma_4h,-4.828359,8.690931
PT76_R2_IFN_gamma_6h,-5.331674,8.602967
PT76_R2_IFN_gamma_8h,-5.4897227,8.8802395
PT76_R2_LCMV_Cl13_2h,-3.1346276,5.4771295
PT76_R2_LCMV_Cl13_4h,-3.6985269,6.090931
PT76_R2_LCMV_Cl13_6h,-3.547211,5.776134
PT76_R2_LCMV_Cl13_8h,-3.6264932,5.7523823
PT76_R2_LO28_2h,-1.2890937,4.731613
PT76_R2_LO28_4h,-0.5522726,3.9845662
PT76_R2_LO28_6h,0.2717617,3.7358
PT76_R2_LO28_8h,0.8010684,3.249646
PT76_R2_LPS_2h,-0.91480637,4.361565
PT76_R2_LPS_4h,-0.6651897,3.9332695
PT76_R2_LPS_6h,-0.28053075,3.414742
PT76_R2_LPS_8h,-0.004660795,3.0794368
PT82_R1_C_albicans_24h,-4.6132364,4.662676
PT82_R1_C_albicans_8h,-5.065809,4.7227836
PT82_R1_IFN_beta_24h,-3.183507,9.16575
PT82_R1_IFN_beta_8h,-3.2828202,9.0668955
PT82_R1_IFN_gamma_24h,-5.39027,8.404418
PT82_R1_IFN_gamma_8h,-5.40727,8.068429
PT82_R1_LCMV_Cl13_24h,-1.3794276,4.2113376
PT82_R1_LCMV_Cl13_8h,-4.558065,5.214608
PT82_R1_LO28_24h,0.4809028,3.6206126
PT82_R1_LO28_8h,0.10402184,3.5388703
PT82_R1_LPS_24h,0.38436395,2.8389835
PT82_R1_LPS_8h,0.3093882,3.230449
