,0,1
RNA_PT82_R1_LO28_24h,16.857952,5.788584
RNA_PT82_R2_LO28_24h,16.61405,5.9792705
RNA_PT76_R2_LCMV_Cl13_4h,18.186657,8.839304
RNA_PT76_R1_LO28_6h,16.606813,4.5335007
RNA_PT82_R2_untreated_24h,16.272612,9.502245
RNA_PT82_R2_IFN_beta_24h,12.521224,10.373726
RNA_PT76_R1_LCMV_Cl13_2h,18.016779,8.991455
RNA_PT76_R1_LPS_6h,16.243126,5.050269
RNA_PT76_R1_C_albicans_4h,16.58373,8.030138
RNA_PT82_R2_IFN_gamma_24h,13.7115345,9.805847
RNA_PT82_R2_LPS_24h,16.652933,6.2690916
RNA_PT76_R1_LPS_2h,17.417822,6.9024243
RNA_PT76_R2_IFN_gamma_2h,12.735188,9.068022
RNA_PT76_R2_C_albicans_2h,17.411667,7.9314675
RNA_PT76_R1_LO28_2h,17.24629,7.180854
RNA_PT82_R2_C_albicans_24h,16.491829,9.499611
RNA_PT82_R1_IFN_gamma_24h,13.6743,9.875514
RNA_PT76_R1_IFN_gamma_6h,13.177518,9.889999
RNA_PT76_R2_LO28_4h,16.180359,4.3310194
RNA_PT76_R1_IFN_gamma_4h,12.893985,9.720964
RNA_PT82_R1_C_albicans_8h,16.489319,8.717327
RNA_PT82_R1_LCMV_Cl13_8h,17.172455,9.564329
RNA_PT76_R2_IFN_beta_2h,12.552114,9.039174
RNA_PT82_R2_C_albicans_8h,16.436607,9.04057
RNA_PT82_R2_LCMV_Cl13_24h,16.847652,6.4920826
RNA_PT76_R2_IFN_gamma_6h,12.815581,9.620116
RNA_PT76_R1_LCMV_Cl13_6h,17.085665,9.121694
RNA_PT82_R2_LCMV_Cl13_8h,16.836905,9.883667
RNA_PT82_R1_IFN_beta_24h,12.697573,10.162879
RNA_PT76_R2_LCMV_Cl13_2h,17.658867,8.822018
RNA_PT76_R2_LCMV_Cl13_6h,17.6642,9.338916
RNA_PT76_R1_IFN_beta_2h,12.257431,9.096333
RNA_PT76_R2_C_albicans_4h,17.323503,8.213526
RNA_PT76_R2_IFN_gamma_4h,13.066881,9.39605
RNA_PT76_R2_LO28_6h,16.729124,4.5902543
RNA_PT76_R2_IFN_beta_4h,11.827201,9.425827
RNA_PT76_R1_untreated_0h,17.360535,8.706714
RNA_PT76_R1_LO28_4h,16.222872,4.357675
RNA_PT76_R1_IFN_gamma_2h,12.913239,8.866444
RNA_PT82_R2_IFN_gamma_8h,13.293614,9.573053
RNA_PT76_R2_IFN_beta_6h,11.673828,9.712175
RNA_PT76_R1_C_albicans_6h,16.825026,8.381526
RNA_PT82_R1_LO28_8h,16.983774,4.882249
RNA_PT82_R1_C_albicans_24h,16.922613,9.271964
RNA_PT76_R1_IFN_beta_4h,12.045837,9.475811
RNA_PT82_R1_untreated_24h,16.653057,9.667237
RNA_PT76_R2_LO28_2h,17.14112,7.284618
RNA_PT76_R1_LPS_4h,16.05454,4.775403
RNA_PT82_R2_untreated_8h,17.023283,9.720483
RNA_PT76_R2_untreated_0h,17.607317,9.066033
RNA_PT76_R1_C_albicans_2h,17.030321,7.822617
RNA_PT82_R1_LCMV_Cl13_24h,17.009722,6.421839
RNA_PT76_R2_LPS_6h,16.285898,4.936924
RNA_PT82_R1_IFN_gamma_8h,13.493949,9.387929
RNA_PT76_R1_LCMV_Cl13_4h,16.83319,9.075904
RNA_PT76_R2_C_albicans_6h,17.589855,8.1516905
RNA_PT82_R1_LPS_8h,16.321434,5.198742
RNA_PT76_R2_LPS_2h,17.264029,7.101776
RNA_PT82_R2_IFN_beta_8h,11.961546,9.928443
RNA_PT82_R2_LO28_8h,16.894072,5.0402083
RNA_PT82_R1_IFN_beta_8h,11.958624,9.913404
RNA_PT76_R2_LPS_4h,16.174809,4.814619
RNA_PT76_R1_IFN_beta_6h,11.902486,9.7967415
RNA_PT82_R2_LPS_8h,16.531132,5.508804
